,time/s,Battery Power Output (MW)
228,24.68192054,0
229,24.89954589,0
230,24.96381487,0
231,24.96381487,0
232,24.96381487,0
233,24.96381487,1.33E-11
234,24.96381487,2.17E-17
235,24.96381487,0
236,24.96381487,1.20E-11
237,24.96381487,6.76E-13
238,24.96381487,0
239,24.96381487,0
240,24.96381487,0
241,24.96381487,0
242,24.96381487,0
243,24.96381487,0
244,24.96381487,0
245,24.96381487,0
246,24.96381487,0
247,24.96381487,0
248,24.96381487,9.86E-15
249,24.96381487,0
250,24.96381488,0
251,24.96381488,0
252,24.96381488,0
253,24.96381488,0
254,24.96381488,0
255,24.96381489,0
256,24.96381491,0
257,24.96381495,0
258,24.96381503,0
259,24.96381519,0
260,24.9638155,0
261,24.96381613,0
262,24.96381738,0
263,24.96381989,0
264,24.96382491,0
265,24.96383495,0
266,24.96385502,0
267,24.96389516,0
268,24.96397545,0
269,24.96413602,0
270,24.96445717,0
271,24.96509947,0
272,24.96638407,0
273,24.96895327,0
274,24.97409167,0
275,24.98436846,0
276,24.98436942,0
277,24.98436942,0
278,24.98436942,0
279,25.00492301,0
280,25.00696016,0
281,25.00696016,3.41E-15
282,25.02256987,0.087736969
283,25.03817958,0.091079166
284,25.069399,0.095314956
285,25.13183783,0.098789875
286,25.2567155,0.099860836
287,25.40728418,0.100004427
288,25.60189572,0.099657855
289,25.80966514,0.0979224
290,25.94034958,0.09954999
291,26.07103403,0.132459335
292,26.13012218,0.178819211
293,26.18921033,0.193752603
294,26.28387757,0.199222105
295,26.39831061,0.200174773
296,26.55626995,0.200228803
297,26.76574633,0.199639916
298,26.92182033,0.199861193
299,27.07789433,0.167852302
300,27.13499443,0.122730843
301,27.19209452,0.107415428
302,27.28620442,0.1014846
303,27.39885721,0.100440255
304,27.55445457,0.100367496
305,27.76197155,0.100896565
306,27.92060906,0.10074373
307,28.07924657,0.068022022
308,28.13745921,0.02209837
309,28.19567184,0.0069245
310,28.29000407,0.00123053
311,28.40355565,0.000232796
312,28.56032237,0.000169428
313,28.76882668,0.000727592
314,28.92618319,0.000541341
315,29.05120522,0.019619203
316,29.10641343,0.072252507
317,29.16162164,0.090912212
318,29.25199524,0.098492184
319,29.3595943,0.09989791
320,29.50743922,0.100042684
321,29.70718326,0.099685203
322,29.87504041,0.099635241
323,29.99277319,0.100085444
324,30.03359496,0.232646391
325,30.07441673,0.380260477
326,30.115194,0.447571123
327,30.1840122,0.487325655
328,30.2619615,0.498019984
329,30.36312329,0.500485665
330,30.49640097,0.500841726
331,30.67876086,0.500707798
332,30.89765174,0.49927849
333,31.0024193,0.498796954
334,31.02147488,0.411166669
335,31.04053047,0.344375516
336,31.10409524,0.241081952
337,31.16847397,0.211718514
338,31.2512775,0.202689402
339,31.35569378,0.200799129
340,31.49566784,0.200556544
341,31.68633041,0.200779415
342,31.90470107,0.202585307
343,32.08282709,0.172041293
344,32.11269763,0.141291608
345,32.14256816,0.122810927
346,32.22930327,0.104534845
347,32.31977329,0.100996781
348,32.44507471,0.100394345
349,32.61379918,0.100419979
350,32.82740201,0.101300624
351,33.0269036,0.098622831
352,33.05328124,0.060609288
353,33.07965889,0.035762823
354,33.16032362,0.007467587
355,33.24350281,0.00150187
356,33.35691955,0.000283565
357,33.5075852,0.000164249
358,33.70931866,0.000571477
359,33.87405604,0.000559191
360,33.89922936,1.02E-14
361,33.89922936,0
362,33.94680069,0
363,33.99437202,0
364,34.04599911,0
365,34.09762619,0
366,34.16280817,0
367,34.2593189,0
368,34.37945583,0
369,34.544932,0
370,34.75935663,0
371,34.90800293,0
372,35.05664923,0
373,35.08027168,0
374,35.0822765,0
375,35.0822765,-6.39E-13
376,35.10589895,-0.032409818
377,35.12952139,-0.057934491
378,35.17676629,-0.083757435
379,35.26088723,-0.096937202
380,35.35762585,-0.099628789
381,35.48922776,-0.100032372
382,35.66824963,-0.099925711
383,35.88580145,-0.098653112
384,36.02384284,-0.099635422
385,36.16188424,-0.099994104
386,36.34005072,-0.099873102
387,36.54903366,-0.098774133
388,36.69004068,-0.099621709
389,36.83104771,-0.099965603
390,37.00778767,-0.09984612
391,37.21172156,-0.098879526
392,37.35519866,-0.099614225
393,37.49867575,-0.099940268
394,37.67448978,-0.099820532
395,37.8744722,-0.098950067
396,37.99327235,-0.099940478
397,38.03970801,-0.019747486
398,38.05016695,-6.37E-13
399,38.05016695,0
400,38.0966026,0
401,38.14303826,0
402,38.22835335,0
403,38.32589207,0
404,38.45908557,0
405,38.64025801,0
406,38.85807944,0
407,38.97755208,0
408,39.03138741,0
409,39.05754487,0
410,39.05754487,-2.28E-15
411,39.09014605,-0.042038523
412,39.12274723,-0.069896842
413,39.18794959,-0.091900601
414,39.27568037,-0.098628594
415,39.3860912,-0.099914819
416,39.53591887,-0.100040082
417,39.7375464,-0.09964446
418,39.90303305,-0.099641219
419,40.01137631,-0.091144362
420,40.03094717,-0.003163662
421,40.03173032,-2.56E-15
422,40.03173032,0
423,40.05130119,0
424,40.07087205,0
425,40.11001377,0
426,40.1826545,0
427,40.26379946,0
428,40.37067826,0
429,40.51252953,0
430,40.70544728,0
431,40.92340902,0
432,41.00091486,0
433,41.00091486,8.20E-14
434,41.02231778,0.029837483
435,41.0437207,0.05433957
436,41.08652654,0.080710546
437,41.16980492,0.096286207
438,41.26340947,0.099501082
439,41.39079823,0.10001973
440,41.56355802,0.099963773
441,41.77932627,0.098935822
442,41.92221299,0.099651168
443,42.06509972,0.151904014
444,42.08919632,0.205844116
445,42.11329293,0.242079832
446,42.18731289,0.286961488
447,42.26333714,0.297530069
448,42.36480453,0.300069449
449,42.4972508,0.300440572
450,42.67870863,0.300315393
451,42.89769872,0.298922021
452,43.03373125,0.300029334
453,43.16976378,0.300406445
454,43.34789212,0.300292625
455,43.55930285,0.299153618
456,43.69964848,0.300027641
457,43.83999411,0.300373946
458,44.01717687,0.309268344
459,44.03946472,0.373562811
460,44.06175258,0.419397321
461,44.13170309,0.480544473
462,44.20321538,0.496016852
463,44.29733148,0.500114739
464,44.41862862,0.500806976
465,44.58450027,0.500803047
466,44.79848839,0.499993561
467,44.94591439,0.50048433
468,45.0933404,0.456636746
469,45.15417219,0.417844442
470,45.21500398,0.40587703
471,45.31401531,0.401683141
472,45.43415736,0.400990281
473,45.60046408,0.400997176
474,45.81577773,0.401832784
475,46.01963177,0.389180727
476,46.0446192,0.282921167
477,46.06960663,0.211055061
478,46.13443044,0.130780966
479,46.20215075,0.108188976
480,46.28942998,0.101721539
481,46.4007509,0.100479678
482,46.55140235,0.10036208
483,46.7537545,0.100774018
484,46.91828549,0.100757438
485,47.08281648,0.066832963
486,47.14118923,0.021642379
487,47.19956199,0.006760472
488,47.29426781,0.001198291
489,47.40831281,0.000228394
490,47.56582341,0.00017091
491,47.77496222,0.000748329
492,47.93150814,0.000540154
493,47.98543026,8.84E-14
494,47.98543026,0
495,48.03359505,0
496,48.08175983,0
497,48.12564461,0
498,48.20448138,0
499,48.29411733,0
500,48.41437257,0
501,48.57678566,0
502,48.78782286,0
503,48.93986316,0
504,49.04002883,0
505,49.06114871,0
506,49.08226858,0
507,49.08766365,0
508,49.08766365,1.21E-13
509,49.12440017,0.046120483
510,49.16113669,0.074258296
511,49.23460973,0.094095729
512,49.32413029,0.099067588
513,49.44127503,0.099972601
514,49.59999322,0.100022076
515,49.80897718,0.099423292
516,49.95483886,0.099823942
517,50.10070054,0.050619895
518,50.16392114,0.014603218
519,50.22714174,0.004153501
520,50.32893288,0.00071922
521,50.45356992,0.000172023
522,50.62589844,0.000221844
523,50.84388855,0.001265795
524,50.86364996,1.74E-16
525,50.86364996,0
526,50.88413986,0
527,50.90462976,0
528,50.94560955,0
529,51.02756915,0
530,51.07187562,0
531,51.1161821,0
532,51.19095746,0
533,51.27661664,0
534,51.38995606,0
535,51.54203991,0
536,51.74539333,0
537,51.90836476,0
538,52.07133619,0
539,52.24549541,0
540,52.42069741,0
541,52.58487104,0
542,52.73945723,0
543,52.89692799,0
544,52.98514517,0
545,52.98514517,-3.95E-14
546,53.03024843,-0.017450679
547,53.07535169,-0.065681861
548,53.12388584,-0.087110969
549,53.21132554,-0.097712846
550,53.31215774,-0.099769615
551,53.45041175,-0.100041925
552,53.63846412,-0.099847315
553,53.85662887,-0.098175429
554,53.97500345,-0.099783147
555,54.02734355,-0.068870898
556,54.05541211,-9.50E-13
557,54.05541211,0
558,54.09614018,0
559,54.13686825,0
560,54.21832438,0
561,54.31198229,0
562,54.43845981,0
563,54.61018558,0
564,54.82579397,0
565,55.0230814,0
566,55.04641907,0
567,55.05773099,0
568,55.05773099,5.26E-13
569,55.08106866,0.032084411
570,55.10440633,0.057489054
571,55.15108167,0.08339494
572,55.23509349,0.096860181
573,55.3314244,0.099614091
574,55.46247897,0.100031031
575,55.64070292,0.099931146
576,55.85808169,0.098691423
577,55.99671061,0.099637907
578,56.13533954,0.099990723
579,56.31354831,0.099867245
580,56.52184415,0.0987788
581,56.66301808,0.099620126
582,56.80419202,0.099963542
583,56.98080332,0.099844629
584,57.03500456,0.144609388
585,57.0892058,0.246236731
586,57.13314785,0.278014706
587,57.21351128,0.295862872
588,57.30473299,0.299737032
589,57.42770681,0.300403287
590,57.59413661,0.300395128
591,57.80737482,0.299579846
592,57.94658395,0.300212583
593,58.05339719,0.251069837
594,58.1018049,0.160172591
595,58.1502126,0.122999014
596,58.22852054,0.105142413
597,58.31981173,0.101101121
598,58.44174427,0.100401426
599,58.60699718,0.100400869
600,58.81982824,0.101181916
601,58.9512309,0.100487092
602,59.08263356,0.181148195
603,59.13414753,0.256142088
604,59.1856615,0.284709038
605,59.26844202,0.297386508
606,59.36600746,0.300040159
607,59.49787109,0.300434889
608,59.67750996,0.300323397
609,59.89537497,0.299021907
610,60.03810529,0.315282209
611,60.06154293,0.380897862
612,60.08498057,0.425842494
613,60.15564305,0.482403182
614,60.22827389,0.49655963
615,60.32406012,0.500219892
616,60.44793221,0.500818693
617,60.61754285,0.50078768
618,60.8333734,0.499854506
619,60.95609277,0.50074088
620,61.05290446,0.421031388
621,61.09759486,0.294555305
622,61.14228527,0.238939915
623,61.21421262,0.209722339
624,61.29708667,0.202283816
625,61.40562512,0.200736751
626,61.55045592,0.200557477
627,61.7466875,0.200857999
628,61.9184434,0.200978405
629,62.02705144,0.187275562
630,62.04749396,0.096353438
631,62.06793649,0.030392962
632,62.08103579,7.78E-13
633,62.08103579,0
634,62.14535873,0
635,62.20968167,0
636,62.29897532,0
637,62.41062911,0
638,62.56276077,0
639,62.76669347,0
640,62.92942389,0
641,63.09215431,0
642,63.26647794,0
643,63.44208545,0
644,63.60640668,0
645,63.76072666,0
646,63.9178233,0
647,64.08782363,0
648,64.14640993,0
649,64.20499623,0
650,64.30041648,0
651,64.41535008,0
652,64.57420819,0
653,64.78446027,0
654,64.93956243,0
655,65.04771454,0
656,65.09503018,0
657,65.14234583,0
658,65.2194785,0
659,65.30900883,0
660,65.428208,0
661,65.58933261,0
662,65.79969623,0
663,65.94583225,0
664,66.05292058,0
665,66.10122723,0
666,66.14953388,0
667,66.22773004,0
668,66.31885456,0
669,66.44052782,0
670,66.60539155,0
671,66.8180096,0
672,66.95736708,0
673,67.09672455,0
674,67.16021548,0
675,67.22370641,0
676,67.32513673,0
677,67.44955955,0
678,67.62156181,0
679,67.83940764,0
680,67.97251515,0
681,68.03395582,0
682,68.0953965,0
683,68.14509592,0
684,68.23881535,0
685,68.346722,0
686,68.49644076,0
687,68.6982913,0
688,68.86379121,0
689,69.02929112,0
690,69.2027487,0
691,69.37459113,0
692,69.53685938,0
693,69.69314256,0
694,69.85399481,0
695,69.98374495,0
696,70.04628832,0
697,70.09545504,0
698,70.14462177,0
699,70.22518568,0
700,70.3192182,0
701,70.44565312,0
702,70.6175047,0
703,70.83328538,0
704,70.96700409,0
705,71.03625463,0
706,71.08690476,0
707,71.13755489,0
708,71.22693542,0
709,71.33092845,0
710,71.47395739,0
711,71.66808952,0
712,71.88557816,0
713,71.9962586,0
714,72.04008105,0
715,72.04489241,0
716,72.04489241,1.64E-12
717,72.07782605,0.042373919
718,72.1107597,0.070271135
719,72.17662699,0.092105517
720,72.26449836,0.098669962
721,72.37544311,0.099920662
722,72.52597753,0.100039161
723,72.72828798,0.099629093
724,72.89293281,0.099643276
725,73.01239324,0.093578234
726,73.03399448,0.030152811
727,73.04714767,1.26E-12
728,73.04714767,0
729,73.06874891,0
730,73.09035015,0
731,73.13355263,0
732,73.21816858,0
733,73.31331966,0
734,73.44327211,0
735,73.61971839,0
736,73.8365386,0
737,73.96740805,0
738,74.03690526,0
739,74.08778316,0
740,74.13866106,0
741,74.2282174,0
742,74.33251914,0
743,74.47600561,0
744,74.67069603,0
745,74.8442026,0
746,74.96805205,0
747,74.96805205,3.83E-14
748,74.96805205,0
749,74.9934941,0
750,75.00261944,0
751,75.00261944,7.53E-13
752,75.02806148,0.093159787
753,75.0516092,0.133438431
754,75.10059896,0.175237231
755,75.17713693,0.194783909
756,75.26684781,0.199360627
757,75.38593175,0.200183266
758,75.54702043,0.200214806
759,75.75742067,0.199554556
760,75.91070131,0.199860242
761,76.06398196,0.200055506
762,76.24080351,0.199878291
763,76.42958288,0.1992079
